data_len,per_len,time1,time2,speedup
1,1,0.029282,0.015419,0.5265692234137013
2,2,0.017044,0.014831,0.8701595869514199
4,4,0.050165,0.043272,0.8625934416425795
8,8,0.067291,0.060622,0.9008931357833886
12,12,0.091656,0.083972,0.9161647900846644
16,16,0.115835,0.10861,0.9376267967367377
20,20,0.172273,0.167239,0.9707789380808367
21,21,0.171065,0.179263,1.0479233040072489
22,22,0.17233,0.186671,1.0832182440666163
23,23,0.172003,0.183076,1.0643767841258582
24,24,0.249978,0.273981,1.0960204497995822
25,25,0.247065,0.268347,1.0861392750895513
28,28,0.353175,0.396856,1.1236808947405676
32,32,0.423614,0.498761,1.1773949869456628
40,40,0.659839,0.7426,1.1254260509002956
48,48,0.862572,0.997839,1.1568182134360958
56,56,1.385067,1.57147,1.1345804932180175
64,64,1.736392,2.04673,1.1787257715999615
80,80,4.120297,3.578524,0.8685111777136454
96,96,6.530147,5.618937,0.8604610279064161
112,112,9.159549,9.150446,0.9990061737755865
128,128,13.241248,13.537468,1.0223710030957807
256,256,27.481251,27.802755,1.011699030731898
386,386,46.69772,47.530121,1.0178253028199236
512,512,59.954903,61.075081,1.0186836762958318
1024,1024,128.534668,130.089722,1.0120983235433416
